actual_letter,image_file,model_output
A,0_png.rf.uF7zNpZRLbCRXVASl53D.png,S
A,10_png.rf.6rm3HWecjmy4inrTuCj6.png,S
A,11_png.rf.uRnQmaMTPkX06PboSjwx.png,B
A,12_png.rf.rB5EGmMHGmHizP6S9hin.png,W
A,13_png.rf.xt2DGB8z8f2hbzCdJWz8.png,A
A,14_png.rf.xezi1bTCYWk6byluwggA.png,A
A,15_png.rf.PSsYwUAg5t76noZGf4bI.png,S
A,16_png.rf.ub2gnrLBuPAZjITTBMnN.png,A
A,17_png.rf.FZnKEA9l4qiHQWI8z1td.png,T
A,18_png.rf.Gwf0VWAdd56YH4aA1oyu.png,P
A,19_png.rf.ytLGnlm5nRyu9A3MHG6y.png,L
A,1_png.rf.GtlAy4uhEZYU7o21Z5LM.png,A
A,20_png.rf.7a3eW8esnXAVdqiAFsPx.png,L
A,21_png.rf.BOInq8c4o9YKQdrsqCHT.png,S
A,22_png.rf.QOpkE3h1wRCEwLWnbzCK.png,A
A,23_png.rf.KU3AubD9jN8KPht5uGNN.png,S
A,24_png.rf.jJfA4AlwGft0FQleudwM.png,S
A,25_png.rf.fo2sH6Jqim3XJGB3lAUx.png,A
A,26_png.rf.RkBCLvUCvOsbWBH968hd.png,S
A,27_png.rf.7iAvfrMsjJQLEhxli4uI.png,A
A,28_png.rf.YarcoggR6J1qljujD3ew.png,A
A,29_png.rf.dNudd7zoeksT2yzkY0By.png,B
A,2_png.rf.XMxxD6PXSzPyRr7FW3Xq.png,P
A,30_png.rf.zMm87AKQl4Fqx84hlP8E.png,L
A,31_png.rf.lJR4G0DQO7jk0p5aIsz5.png,S
A,32_png.rf.CMZ1WywZq22vxM8fvMp2.png,C
A,33_png.rf.Sj1HQEDYvefPgiaszMYA.png,S
A,34_png.rf.8DCbIrBjnqmhMi79C8nt.png,S
A,3_png.rf.AkcksBwsXqNvyDdSTmIy.png,S
A,4_png.rf.3WOtcrJIso9V8F58oFag.png,L
A,5_png.rf.WtkLwDEI0uH6RX6o9Zv0.png,L
A,6_png.rf.LVw8NcVkndTpTqCrJRru.png,B
A,7_png.rf.g0MQqHR8s8rwasG3LK78.png,A
A,8_png.rf.rWMO8aj9XDToZvsjk69r.png,S
A,9_png.rf.n6HrA5ttsJngj9MCeliI.png,E
B,0_png.rf.9vajqJcR9KJpTP3xbeaK.png,A
B,10_png.rf.jV6t6pT1WB0VH6iwTZF4.png,W
B,11_png.rf.YnuanuTuh1Gt4ZSYuJSu.png,G
B,12_png.rf.LHFf4YauRtCZesP3yDcC.png,A
B,13_png.rf.T0SAnV8986JMdcmkXQKV.png,E
B,14_png.rf.i6xi9UUxoT3ZjBCSHilM.png,B
B,15_png.rf.P8OFzLyj5ix6HLeXxlLp.png,W
B,16_png.rf.s1WKw8rzvdIZrDvf4zvh.png,B
B,17_png.rf.3JCj9ZVbkiEbn2A8Rb3R.png,A
B,18_png.rf.UyMR7ljhSo1dQpAUuPBa.png,L
B,19_png.rf.PmT1TF2Sat0MY9ZhfgRC.png,M
B,1_png.rf.zeQHAjqb7kMDkYAJFfon.png,E
B,20_png.rf.gnQ3GLWkD9ty0W8rsy1Z.png,L
B,21_png.rf.WCyj3MZ8g8pm7fO1fLZ9.png,W
B,22_png.rf.hMJHsz2aLN6KXCgPZWkP.png,B
B,23_png.rf.pqg0hl5Aa8Lj0Xuml8oD.png,G
B,24_png.rf.IMucIxQcWbKj6yj8iLG0.png,W
B,25_png.rf.Xk0JxHRZ035NQGYSTLBR.png,L
B,26_png.rf.dHt9mkjOfYAdCtnh4nwf.png,B
B,27_png.rf.qbjekInKiaVCmoSQqXNH.png,W
B,28_png.rf.C8SOXWpqg355sy4xLgU3.png,L
B,29_png.rf.PAPP970wjUl9N7G1X9qE.png,W
B,2_png.rf.5KOnNco0edTt4jQLBh4y.png,C
B,30_png.rf.2rUzWEOaUsE2PsUsVZ4t.png,B
B,31_png.rf.zpuC6wW2uTJ8oGSRQGoH.png,L
B,32_png.rf.uLWbYDOdGjZcHs1Cnoiv.png,L
B,33_png.rf.H9eGJXeOmUZ8nBJbN6sV.png,E
B,34_png.rf.LRe9LgFUWAecxhArILq2.png,E
B,35_png.rf.57m7zGnGfl4dj2nTbbVU.png,E
B,3_png.rf.N3wTjVH9I8eA1UozhriD.png,L
B,4_png.rf.BqoqSJjyDXXUsFjSTEz2.png,E
B,5_png.rf.MhrWDvc25gC7RBwbYax7.png,W
B,6_png.rf.QoRVZhQqwgD3Rh8gSOAn.png,E
B,7_png.rf.uu05QB9fgl8Ty9h3mTEm.png,L
B,8_png.rf.rdSKriKXBKEkC3z6FY6B.png,E
B,9_png.rf.XalJyqP6YQ7YhM7BRJGI.png,E
C,0_png.rf.XtV6qN5S8HbP35bsuict.png,C
C,10_png.rf.zsy8ycPcZc5XzlgkOm7y.png,C
C,11_png.rf.GR6bb0arjk2pTQmFYFik.png,C
C,12_png.rf.n6OdVQrdKKpDREftJKDu.png,C
C,13_png.rf.Oz6P7qfOIzJfMSNU3dDP.png,L
C,14_png.rf.awvVXlb6NOe0Xzf6nMez.png,C
C,15_png.rf.VlzZTRMvyFCmnOigbXFI.png,C
C,16_png.rf.bFhyp8YRiSY4CCResO9I.png,C
C,17_png.rf.JwgdILnSy2avk06Pjf8h.png,C
C,18_png.rf.tsN7IfVBpapw7ZrdeOyF.png,C
C,19_png.rf.Q2jfGc6rdYptDKJrYTpd.png,C
C,1_png.rf.b3RLIERaQhjyf4YJIQkm.png,C
C,20_png.rf.yLQYDIRcBduI2AG7n7cn.png,C
C,21_png.rf.nmhXGb0nffhaSD3PgOy4.png,C
C,22_png.rf.GxumfLxHB5m5ILXPOzkJ.png,C
C,23_png.rf.vpgXhSz4jPSlNk7xK3Mr.png,C
C,24_png.rf.NiQw9iZyTDBE6bWcJIol.png,C
C,25_png.rf.Tg6VinAe6qIcWYetS1UJ.png,C
C,26_png.rf.O6hMJVAtXRwmf4YKFp72.png,C
C,27_png.rf.fkYDVz60dTIplBe7GZGJ.png,C
C,28_png.rf.Le1NKoM4D2xo96RjwkxS.png,C
C,29_png.rf.PM3kkwm4dV9rsDvJyJx7.png,C
C,2_png.rf.qhrLMlBcORKE7KgvsMiK.png,C
C,30_png.rf.49JoNOScRyhLbfmlu7dj.png,C
C,31_png.rf.XGNj9pK2KV2IcGg1WLRc.png,C
C,32_png.rf.6HnEY7s39xsYCZ28MWuI.png,C
C,33_png.rf.0zW2PyMo42bnFx64wDFu.png,C
C,34_png.rf.Q9w8R2gRFK7TBKD8mpEf.png,C
C,35_png.rf.iqTyVD6CKsHnDr2QKJCa.png,C
C,36_png.rf.IADYfiyHEMgfub9tLWNU.png,C
C,37_png.rf.Mj8HXv4OS7iIiiJvgHNH.png,C
C,38_png.rf.iOf5wKYt10aUCcBmINKl.png,C
C,39_png.rf.miobgqlFMMNY1UOK3RUZ.png,C
C,3_png.rf.1ZBm4L0iaeHbe5OhgW8Q.png,C
C,40_png.rf.8vok20bssP6pMVcIRgQk.png,C
C,41_png.rf.xkys90DwI7jpMmti6DWG.png,C
C,42_png.rf.n7tKKskqYMTMf6yMVB8W.png,C
C,43_png.rf.ZmGds1cW6DxiFGOVTcmm.png,C
C,44_png.rf.sZuopgFO0VnVfX0Ax7k5.png,C
C,45_png.rf.3YMYIvl7vgaXgM5zVjUF.png,C
C,46_png.rf.uu3Ius4uzxeLMbyLzmtl.png,C
C,47_png.rf.C4YClvY8Ntrc12r7SQ0r.png,C
C,48_png.rf.kTMKeN4tW7gIxTH1ZPw3.png,C
C,49_png.rf.j8NgoX4Cjczq3KKD6piq.png,C
C,4_png.rf.JoRq9DsTub1QZNhPOPp0.png,C
C,50_png.rf.bxAWFouvlm9Q2v7iKZmZ.png,C
C,51_png.rf.UXuBpq3Rs7Dvp4kqhbSQ.png,C
C,52_png.rf.3z6cq0SsKxAw2BCzff8B.png,C
C,53_png.rf.udj849FSE9XFo6Tluzh8.png,C
C,54_png.rf.yISwCmzcm0siHbfOppJC.png,C
C,55_png.rf.TKdrswDLNrlMEPxXYlFW.png,C
C,56_png.rf.A9L8TnlV1bh5BUJ1YcGz.png,C
C,57_png.rf.q0VOv51XOSzOntlzuTL2.png,C
C,58_png.rf.CLKMlUJy1h0FmnJmI5nD.png,C
C,59_png.rf.VSUgZEFXvvbfHIOy5YDM.png,C
C,5_png.rf.QYc4MUWlT3nYuwjQYgRU.png,C
C,6_png.rf.yoBlvm5Z9GrKIYjZAV0k.png,C
C,7_png.rf.4NGEFKGdrCN78bQcPcGF.png,C
C,8_png.rf.8lCMQ9HcHjpNcJQzt7mw.png,C
C,9_png.rf.UFpMzexIzAJUSzoaJwko.png,C
D,0_png.rf.4fZ3OJkwKfzjlIsrGqzV.png,I
D,10_png.rf.MklPyGfSsq4ET8S4SBog.png,D
D,11_png.rf.DCZA4Ea7h3vOO0XyGlta.png,A
D,12_png.rf.yRNyJ9yNgVco6kGi969Y.png,I
D,13_png.rf.rEijgWv7gEpMs5oAVhOz.png,A
D,14_png.rf.K329YkFSB3Ov7Yc0uxQK.png,A
D,15_png.rf.Nw1AYyB4ku98gIwlslAy.png,I
D,16_png.rf.Vt2SQFIKZ5B4mG3qYzSz.png,A
D,17_png.rf.gUcC42RILOPnlOKQMp3A.png,I
D,18_png.rf.1Y42sOEi0CsXefDuchZw.png,I
D,19_png.rf.10Lf9AeXcJ9CrInHJIMw.png,I
D,1_png.rf.qIEeuTJlIcmBvJYPP1vj.png,A
D,20_png.rf.9D0sVzaxrMy9MwGsKzJt.png,I
D,21_png.rf.gV6AJ8dwPOnRNZiKXBex.png,I
D,22_png.rf.RRmpbKVbSjfuzmGrrRka.png,I
D,23_png.rf.1FwsBN3seEj4r5HBwDWy.png,A
D,24_png.rf.UFp5ma9dFjE3V9GITRTK.png,I
D,25_png.rf.B5PQMTGEosNok1LkpmSE.png,I
D,26_png.rf.ljF023lW2uDdxGn7yqVO.png,T
D,27_png.rf.AjqBLjeAHO4fPc67ZFp5.png,I
D,28_png.rf.lqIvgwaJKVzBSDG09vu8.png,I
D,29_png.rf.QkMr1sOlKj66g7jkXCUs.png,A
D,2_png.rf.Crlb9GqtDa4qCVFPnrMC.png,P
D,30_png.rf.1joc4areImNQntxliWIp.png,I
D,31_png.rf.Alv0ZNWZviH8cvjgpBRo.png,I
D,32_png.rf.HoQUXbhEUC5bDfldhqgQ.png,A
D,33_png.rf.bDTs6EjrV7zXSKUoNsJ7.png,P
D,34_png.rf.zYSqJnUmSWryH56fbMX4.png,I
D,35_png.rf.tYovipJ7xZJMKf3jqNFL.png,I
D,36_png.rf.BIHNGHSvTR6DUuqXuAA0.png,A
D,37_png.rf.652S5ynDtHpyPDjZNbmD.png,I
D,38_png.rf.pjteeAW6YArCNfdBNaJd.png,I
D,39_png.rf.VzQLDdnBNzHpDZ587hSA.png,I
D,3_png.rf.tlruN3S7MXdjiWAW2QZX.png,A
D,40_png.rf.MTX7RbN4HLa3hZKWBqtD.png,I
D,41_png.rf.iq0F7H8WtPzpD0nNPAId.png,T
D,42_png.rf.LfkJ5KwrGDBiaGIVSV8j.png,I
D,43_png.rf.HNH8UUDRMNkgnZ0pZ4kc.png,A
D,44_png.rf.q1TWy3H0obR988VaPBrf.png,A
