letter_1,letter_2,distance
G,X,0.3062227032891437
J,S,0.5844816981990759
N,S,0.5998579289127377
A,B,0.8315132338511203
G,S,0.8568157980923876
A,N,0.8743345802639559
S,X,0.8937188216941531
G,J,0.8966942672943436
A,S,0.9345022639307959
J,X,0.9348197899812645
J,N,0.9670801475421436
S,Z,0.9882585949789566
B,N,1.0058913454312932
L,S,1.0231469662160617
J,Z,1.0244332095622424
G,N,1.0342967465670598
X,Z,1.070199893747064
B,S,1.091779393101427
E,N,1.1029896039361258
B,L,1.133153992548979
A,L,1.140418068820658
A,J,1.1485759874646644
N,X,1.1491928625628962
G,Z,1.1588204339398955
B,C,1.1873686265672652
L,N,1.201083068803851
B,E,1.2024786060481139
A,E,1.2294618077852675
A,C,1.2319559997643856
A,G,1.2330350236716268
L,X,1.2448911270603922
J,L,1.2855400788240543
A,X,1.2869477807420664
B,J,1.2926630006690092
G,L,1.294716323969589
L,Z,1.3107351157914227
B,G,1.3283482876702797
E,G,1.3593466884611236
B,X,1.397055997008647
C,G,1.4465844291843126
E,X,1.4782902577861876
E,S,1.49109112863543
N,Z,1.5108284309436009
C,X,1.5488090020388334
C,E,1.5589652378723784
E,L,1.5640060380705565
C,N,1.5921412907246537
C,S,1.5963075075413402
C,J,1.609964777592685
C,L,1.6374875749502684
E,J,1.7118992402707707
A,Z,1.7306047851868092
B,Z,1.7853736891257712
C,Z,2.014224426182668
E,Z,2.2366805944294614
