letter_1,letter_2,distance
R,U,0.24627785867584237
I,Y,0.35034040717897474
M,N,0.3625796736476931
K,R,0.3924238204049989
K,U,0.39673287453660805
U,V,0.43598637931207584
K,V,0.48516765014472746
R,V,0.550509409395
U,W,0.5856704094030136
M,S,0.5932760597196167
R,W,0.6360259183981886
N,S,0.6790784421520867
A,E,0.7091900983357169
V,W,0.719680325168184
D,L,0.743724868967583
K,W,0.7562132350678091
G,H,0.7583360777990222
B,U,0.7648176167998881
B,R,0.7705548121158444
B,E,0.7800494111524825
B,W,0.790427352592629
E,Y,0.8340122057943132
N,X,0.8747872022429863
E,I,0.8805314674354305
M,X,0.8870237807172716
L,R,0.919085352851736
D,X,0.9354318212470161
E,U,0.9378742872955219
B,K,0.9458147984565961
K,L,0.9476859986181105
K,X,0.9483711376116769
A,I,0.948789138383949
M,Y,0.9521006325949368
A,Y,0.9605384305920023
A,M,0.96067067559298
E,R,0.9625095283896571
I,M,0.9672399475296027
P,X,0.9701920270110488
L,U,0.9810720490276704
M,P,0.9821122958457444
B,I,0.9838125156107317
E,W,0.9992512953710418
A,B,1.0009847040980797
K,M,1.0010548203020366
H,P,1.0031919127993612
R,X,1.0082495898946298
O,S,1.0089722862670778
D,R,1.0196641284854506
H,J,1.0198385838036066
K,N,1.0269346117411624
M,U,1.0284427628683797
B,V,1.0295568606605083
I,S,1.030826973014911
B,Y,1.0345017537993781
E,M,1.0362878506367588
U,X,1.0378921340047227
S,X,1.0390198531680575
A,R,1.0391658294810115
E,S,1.0403299592820328
C,E,1.0410263387683893
B,S,1.0457213315175102
L,V,1.0474316639899435
O,X,1.053549106905465
S,Y,1.0537133039385413
H,X,1.0578833809528687
A,U,1.061833216867421
N,P,1.0647570645489683
D,V,1.0683220514942904
D,K,1.081659178351549
D,U,1.0847326748322532
A,X,1.09123401760225
L,W,1.0938889299332353
N,U,1.095107591849457
L,X,1.0960837660163931
M,R,1.0973158788936959
E,K,1.1026296717408421
N,Y,1.105195352969364
A,K,1.1106050484047116
J,X,1.1135630465135915
M,V,1.116057474612499
L,Y,1.117936667027145
G,J,1.1208174392175643
I,R,1.1296739152138948
N,V,1.134310770221826
I,X,1.1365046603707056
